Observation_ID,Date_of_observation,User_id,User_Tree_id,Species_name,Lat,Long,State_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
354391.0,2019-09-15,18875.0,73592.0,African tulip- Spathodea campanulata,8.7044,77.73823,Tamil Nadu,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2019,34
188465.0,2018-01-25,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,2.0,1.0,,2.0,0.0,,,0.0,0.0,,2018,3
303967.0,2019-03-17,19981.0,44078.0,African tulip- Spathodea campanulata,11.70262,78.17417,Tamil Nadu,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2019,10
707162.0,2023-11-28,26506.0,149890.0,African tulip- Spathodea campanulata,10.96126,76.80859,Tamil Nadu,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,43
707161.0,2023-11-28,26506.0,149889.0,African tulip- Spathodea campanulata,10.96057,76.81034,Tamil Nadu,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,43
318301.0,2019-06-15,20237.0,50651.0,African tulip- Spathodea campanulata,9.46429,77.56239,Tamil Nadu,0.0,2.0,1.0,0.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,2019,21
349731.0,2019-09-13,20119.0,69029.0,African tulip- Spathodea campanulata,11.62549,78.52208,Tamil Nadu,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2019,33
392367.0,2020-01-05,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,2.0,2.0,,1.0,1.0,,,1.0,1.0,,2020,0
392368.0,2020-01-12,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,2.0,2.0,,1.0,1.0,,,1.0,1.0,,2020,1
642553.0,2023-02-14,23937.0,130118.0,African tulip- Spathodea campanulata,13.01005,80.25618,Tamil Nadu,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,5
677517.0,2023-07-16,26506.0,143230.0,African tulip- Spathodea campanulata,10.96126,76.80859,Tamil Nadu,2.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2023,25
391605.0,2020-01-18,21613.0,83071.0,African tulip- Spathodea campanulata,13.05727,80.25883,Tamil Nadu,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2020,2
279439.0,2019-02-17,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,1.0,2.0,1.0,2.0,2.0,-2.0,-2.0,1.0,0.0,0.0,2019,6
172807.0,2017-08-20,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,1.0,2.0,,0.0,1.0,,,0.0,1.0,,2017,30
649404.0,2023-03-25,17296.0,131185.0,African tulip- Spathodea campanulata,11.01651,77.01846,Tamil Nadu,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,2.0,2023,11
649405.0,2023-03-25,17296.0,131186.0,African tulip- Spathodea campanulata,11.01659,77.01845,Tamil Nadu,1.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,2.0,2023,11
301342.0,2019-03-18,177.0,41536.0,African tulip- Spathodea campanulata,11.03043,77.03909,Tamil Nadu,-1.0,2.0,-1.0,2.0,2.0,-2.0,-2.0,-1.0,-1.0,-1.0,2019,10
163423.0,2017-03-19,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,0.0,2.0,,0.0,0.0,,,1.0,0.0,,2017,10
400422.0,2020-02-14,21613.0,83071.0,African tulip- Spathodea campanulata,13.05727,80.25883,Tamil Nadu,2.0,2.0,,2.0,1.0,,,0.0,0.0,,2020,5
346099.0,2019-08-27,15585.0,9591.0,African tulip- Spathodea campanulata,10.98417,76.73734,Tamil Nadu,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2019,31
329411.0,2019-06-17,20184.0,61597.0,African tulip- Spathodea campanulata,11.62549,78.52208,Tamil Nadu,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2019,22
