,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
0,2023-12-19,Black Siris-Albizia odoratissima,2.0,2.0,1.0,2.0,2.0,-2.0,-2.0,1.0,2.0,-2.0,2023,45
1,2021-11-20,Kardhai-Anogeissus pendula,1.0,1.0,1.0,1.0,0.0,-2.0,-2.0,1.0,1.0,0.0,2021,41
2,2023-06-18,Arjun-Terminalia arjuna,2.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2023,21
3,2021-08-26,Arjun-Terminalia arjuna,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2021,30
4,2023-04-08,Arjun-Terminalia arjuna,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12
5,2023-04-08,Arjun-Terminalia arjuna,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023,12
6,2023-03-28,Arjun-Terminalia arjuna,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2023,11
7,2023-03-28,Arjun-Terminalia arjuna,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2023,11
8,2023-04-15,Arjun-Terminalia arjuna,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023,13
9,2023-04-22,Arjun-Terminalia arjuna,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2023,14
10,2023-05-31,Arjun-Terminalia arjuna,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2023,19
11,2023-05-31,Arjun-Terminalia arjuna,2.0,1.0,0.0,2.0,2.0,-2.0,-2.0,2.0,0.0,-2.0,2023,19
12,2023-07-16,Babool-Acacia nilotica,2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,2023,25
