Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week,Lat,Long,Observation_ID,User_id,User_Tree_id
2021-02-02,Apricot tree-Prunus armeniaca,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4,31.43458,78.26061,475960.0,22892.0,98467.0
2021-01-21,Apricot tree-Prunus armeniaca,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2,31.43458,78.26061,475949.0,22892.0,98456.0
2023-04-01,Axlewood-Anogeissus latifolia,2.0,2.0,2.0,1.0,1.0,-2.0,-2.0,2.0,1.0,-2.0,2023,11,32.17322,77.1917,652291.0,18376.0,133528.0
2021-01-30,Banyan-Ficus benghalensis,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2021,3,32.12111,76.38345,472226.0,22892.0,98280.0
2021-02-04,Ber-Ziziphus mauritiana,2.0,1.0,0.0,1.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2021,4,31.46846,76.27126,476140.0,22940.0,98512.0
2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43,31.06601,77.1771,241379.0,18811.0,19743.0
2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,1.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43,31.06601,77.1771,241312.0,18811.0,19676.0
2018-12-02,Bottle brush-Melaleuca viminalis,2.0,2.0,1.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43,31.06601,77.1771,241390.0,18811.0,19754.0
2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43,31.06601,77.1771,241324.0,18811.0,19688.0
2021-02-04,Curry leaf plant-Murraya koenigii,-1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4,31.46846,76.27126,476135.0,22940.0,98507.0
2023-11-14,Deodar-Cedrus deodara,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,1.0,2.0,0.0,2023,40,32.53949,77.4702,702976.0,28367.0,148170.0
2016-11-24,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,42,31.02226,76.71472,143946.0,15304.0,8536.0
2016-09-15,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,33,31.02226,76.71472,137309.0,15304.0,8536.0
2016-12-08,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,44,31.02226,76.71472,145774.0,15304.0,8536.0
2016-11-03,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,39,31.02226,76.71472,142126.0,15304.0,8536.0
2016-10-06,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,36,31.02226,76.71472,139393.0,15304.0,8536.0
2016-08-18,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2016,29,31.02226,76.71472,135843.0,15304.0,8536.0
2016-12-26,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,46,31.02226,76.71472,154063.0,15304.0,8536.0
2016-09-08,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,32,31.02226,76.71472,137200.0,15304.0,8536.0
2016-11-17,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,41,31.02226,76.71472,143283.0,15304.0,8536.0
2017-01-09,Devil's Tree-Alstonia scholaris,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,1,31.02226,76.71472,154065.0,15304.0,8536.0
2017-09-29,Devil's Tree-Alstonia scholaris,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,35,31.02226,76.71472,175706.0,15304.0,8536.0
2016-08-11,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,2.0,,,0.0,0.0,,2016,28,31.02226,76.71472,135406.0,15304.0,8536.0
2017-11-03,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2017,39,31.02226,76.71472,182811.0,15304.0,8536.0
2017-11-21,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2017,41,31.02226,76.71472,182810.0,15304.0,8536.0
2017-10-10,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,1.0,,,0.0,0.0,,2017,36,31.02226,76.71472,182809.0,15304.0,8536.0
2017-01-16,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2,31.02226,76.71472,160891.0,15304.0,8536.0
2017-01-23,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2,31.02226,76.71472,160894.0,15304.0,8536.0
2017-01-30,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,3,31.02226,76.71472,160899.0,15304.0,8536.0
2018-01-26,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,3,31.02226,76.71472,188722.0,15304.0,8536.0
2017-02-13,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,5,31.02226,76.71472,160908.0,15304.0,8536.0
2017-02-20,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,6,31.02226,76.71472,160909.0,15304.0,8536.0
2017-02-06,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,4,31.02226,76.71472,160903.0,15304.0,8536.0
2017-02-27,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,7,31.02226,76.71472,160910.0,15304.0,8536.0
2018-07-02,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,2.0,1.0,,2018,23,31.02226,76.71472,205458.0,15304.0,8536.0
2016-08-04,Devil's Tree-Alstonia scholaris,2.0,1.0,,1.0,0.0,,,0.0,0.0,,2016,27,31.02226,76.71472,134945.0,15304.0,8536.0
2018-01-12,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,1,31.02226,76.71472,188719.0,15304.0,8536.0
2016-08-25,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2016,30,31.02226,76.71472,136120.0,15304.0,8536.0
2016-09-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,31,31.02226,76.71472,136478.0,15304.0,8536.0
2016-12-19,Devil's Tree-Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,45,31.02226,76.71472,148043.0,15304.0,8536.0
2018-01-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,1.0,0.0,,2018,0,31.02226,76.71472,186297.0,15304.0,8536.0
2018-02-20,Devil's Tree-Alstonia scholaris,1.0,2.0,,1.0,1.0,,,0.0,0.0,,2018,6,31.02226,76.71472,201625.0,15304.0,8536.0
2018-02-08,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,1.0,,,0.0,0.0,,2018,5,31.02226,76.71472,192845.0,15304.0,8536.0
2018-02-01,Devil's Tree-Alstonia scholaris,1.0,2.0,,2.0,1.0,,,0.0,0.0,,2018,4,31.02226,76.71472,192843.0,15304.0,8536.0
2018-03-12,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2018,9,31.02226,76.71472,201622.0,15304.0,8536.0
2018-04-02,Devil's Tree-Alstonia scholaris,2.0,2.0,,2.0,2.0,,,1.0,0.0,,2018,11,31.02226,76.71472,201620.0,15304.0,8536.0
2016-08-01,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,27,31.02226,76.71472,134993.0,15304.0,8536.0
2016-08-02,Devil's Tree-Alstonia scholaris,2.0,2.0,,1.0,1.0,,,0.0,0.0,,2016,27,31.02226,76.71472,134556.0,15304.0,8536.0
2021-01-30,Soft fig-Ficus mollis,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,2021,3,32.11607,76.38385,472225.0,22892.0,98278.0
2021-01-30,Soft fig-Ficus mollis,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2021,3,32.11607,76.38385,472221.0,22892.0,98277.0
2021-01-30,Five-leaved vitex-Vitex negundo,1.0,2.0,2.0,0.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2021,3,32.11769,76.38355,472235.0,22892.0,98282.0
2019-06-09,Gamar-Gmelina arborea,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2019,20,30.85661,77.16921,313966.0,20346.0,46831.0
2018-12-01,Grey Oak-Quercus leucotrichophora,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2018,43,31.06601,77.1771,235893.0,18811.0,14368.0
2021-02-04,Guava tree-Psidium guajava,-1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2021,4,31.46851,76.2705,476129.0,22940.0,98501.0
2017-01-08,Gulmohur-Delonix regia,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,1,31.03107,76.70555,153282.0,15307.0,8425.0
2017-01-19,Gulmohur-Delonix regia,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2,31.03107,76.70555,155021.0,15307.0,8425.0
2016-11-14,Gulmohur-Delonix regia,-1.0,2.0,,-1.0,1.0,,,-1.0,1.0,,2016,41,31.03107,76.70555,142893.0,15307.0,8425.0
2017-04-16,Gulmohur-Delonix regia,2.0,-1.0,,1.0,0.0,,,0.0,1.0,,2017,13,31.03107,76.70555,165700.0,15307.0,8425.0
2016-09-01,Gulmohur-Delonix regia,1.0,0.0,,0.0,0.0,,,1.0,1.0,,2016,31,31.03107,76.70555,136461.0,15307.0,8425.0
2016-10-27,Gulmohur-Delonix regia,0.0,2.0,,0.0,1.0,,,1.0,-1.0,,2016,38,31.03107,76.70555,141339.0,15307.0,8425.0
2017-05-21,Gulmohur-Delonix regia,2.0,0.0,,2.0,2.0,,,0.0,0.0,,2017,18,31.03107,76.70555,167508.0,15307.0,8425.0
2016-10-16,Gulmohur-Delonix regia,-1.0,2.0,,0.0,1.0,,,-1.0,1.0,,2016,37,31.03107,76.70555,139952.0,15307.0,8425.0
