Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2019-09-19,Arjun tree- Terminalia arjuna,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,2019,33
2023-11-29,Arjun tree- Terminalia arjuna,1.0,2.0,0.0,-1.0,-1.0,-2.0,-2.0,2.0,2.0,-2.0,2023,42
2023-11-09,Babool- Acacia nilotica,1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2023,40
2023-11-06,Banyan-Ficus benghalensis,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2023,39
2016-03-22,Banyan-Ficus benghalensis,2.0,1.0,,0.0,0.0,,,0.0,0.0,,2016,10
2015-11-03,Banyan-Ficus benghalensis,2.0,2.0,,2.0,2.0,,,1.0,2.0,,2015,39
2015-11-24,Banyan-Ficus benghalensis,1.0,2.0,,1.0,0.0,,,1.0,0.0,,2015,42
2016-02-09,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,5
2015-12-01,Banyan-Ficus benghalensis,1.0,2.0,,1.0,0.0,,,1.0,1.0,,2015,43
2016-03-01,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,7
2019-12-13,Banyan-Ficus benghalensis,2.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,2019,44
2016-02-16,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,6
2016-02-23,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,6
2015-11-10,Banyan-Ficus benghalensis,1.0,2.0,,2.0,0.0,,,2.0,1.0,,2015,40
2015-11-17,Banyan-Ficus benghalensis,1.0,2.0,,1.0,0.0,,,2.0,1.0,,2015,41
2016-03-08,Banyan-Ficus benghalensis,0.0,1.0,,0.0,0.0,,,0.0,1.0,,2016,8
2016-09-20,Banyan-Ficus benghalensis,0.0,2.0,,0.0,0.0,,,1.0,2.0,,2016,33
2016-09-06,Banyan-Ficus benghalensis,1.0,2.0,,0.0,0.0,,,0.0,2.0,,2016,32
