Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2021-02-02,Apricot tree-Prunus armeniaca,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4
2021-01-21,Apricot tree-Prunus armeniaca,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,2
2023-04-01,Axlewood tree- Anogeissus latifolia,2.0,2.0,2.0,1.0,1.0,-2.0,-2.0,2.0,1.0,-2.0,2023,11
2021-01-30,Banyan-Ficus benghalensis,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2021,3
2021-02-04,Ber-Ziziphus mauritiana,2.0,1.0,0.0,1.0,0.0,-2.0,-2.0,0.0,1.0,-2.0,2021,4
2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,1.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
2018-12-02,Bottle brush-Melaleuca viminalis,2.0,2.0,1.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
2018-12-02,Bottle brush-Melaleuca viminalis,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,2018,43
2021-02-04,Curry leaf plant-Murraya koenigii,-1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,2021,4
2023-11-14,Deodar-Cedrus deodara,1.0,2.0,1.0,-2.0,-2.0,0.0,0.0,1.0,2.0,0.0,2023,40
2016-11-24,Devil's tree- Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,42
2016-09-15,Devil's tree- Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,33
2016-12-08,Devil's tree- Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,44
2016-11-03,Devil's tree- Alstonia scholaris,1.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,39
2016-10-06,Devil's tree- Alstonia scholaris,1.0,2.0,,1.0,0.0,,,0.0,0.0,,2016,36
2016-08-18,Devil's tree- Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2016,29
2016-12-26,Devil's tree- Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,46
2016-09-08,Devil's tree- Alstonia scholaris,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,32
2016-11-17,Devil's tree- Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2016,41
2017-01-09,Devil's tree- Alstonia scholaris,0.0,1.0,,0.0,0.0,,,0.0,0.0,,2017,1
2017-09-29,Devil's tree- Alstonia scholaris,1.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,35
2016-08-11,Devil's tree- Alstonia scholaris,2.0,2.0,,1.0,2.0,,,0.0,0.0,,2016,28
2017-11-03,Devil's tree- Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2017,39
2017-11-21,Devil's tree- Alstonia scholaris,2.0,2.0,,2.0,2.0,,,0.0,0.0,,2017,41
2017-10-10,Devil's tree- Alstonia scholaris,2.0,2.0,,1.0,1.0,,,0.0,0.0,,2017,36
2017-01-16,Devil's tree- Alstonia scholaris,0.0,2.0,,0.0,0.0,,,0.0,0.0,,2017,2
