Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,1.0,2.0,0.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,1.0,0.0,-2.0,-2.0,1.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,1.0,2.0,0.0,2.0,1.0,-2.0,-2.0,2.0,1.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,1.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,2.0,1.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,1.0,-2.0,-2.0,2.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,1.0,1.0,-2.0,-2.0,1.0,0.0,1.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,2.0,2.0,0.0,1.0,2.0,-2.0,-2.0,2.0,2.0,1.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,2.0,2.0,1.0,1.0,2.0,-2.0,-2.0,2.0,1.0,1.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,1.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,1.0,2.0,0.0,1.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
2018-12-02,Aabehayat Mango- Mangifera indica,0.0,2.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
