Species_name,Year,Phenophase,Phenophase_start_week,Max_Initiation_probability,Mean_initiation_week,Mean_initiation_probability,Phenophase_end_week,Max_end_probability,Mean_end_week,Mean_end_probability
Mango (all varieties)-Mangifera indica,2018,Flowers_bud,37,0.08088498718710331,32,0.04279512677238665,9,0.0780307497454301,14,0.001249388346465557
Mango (all varieties)-Mangifera indica,2019,Flowers_bud,33,0.08394554427554342,32,0.0616403172600257,11,0.08727415888717943,12,0.0012398500555584613
Mango (all varieties)-Mangifera indica,2020,Flowers_bud,33,0.07401586345218211,30,0.06317690525027471,8,0.07356711778082128,8,0.0009444065021536833
Mango (all varieties)-Mangifera indica,2021,Flowers_bud,35,0.07131514056957454,37,0.07019396187186756,9,0.06348890609117945,9,0.0019542178416212747
Mango (all varieties)-Mangifera indica,2022,Flowers_bud,34,0.06417768655721062,32,0.05630048271013594,11,0.06856070879977254,11,0.0034609515796698376
Mango (all varieties)-Mangifera indica,2023,Flowers_bud,27,0.13552813843287193,20,0.017784069805823175,8,0.07493240559778924,9,0.002083907245465777
Mango (all varieties)-Mangifera indica,2018,Flowers_open,33,0.07876643236477578,32,0.04308639221408432,9,0.0734933393914526,14,0.0011765732662409399
Mango (all varieties)-Mangifera indica,2019,Flowers_open,36,0.08185282963055508,34,0.07686961047156436,11,0.08467952347170271,13,0.000676297281430825
Mango (all varieties)-Mangifera indica,2020,Flowers_open,33,0.07120903991880845,31,0.0597645204469252,8,0.07372938267117495,9,0.004183070587768478
Mango (all varieties)-Mangifera indica,2021,Flowers_open,37,0.06656479414460388,38,0.06481892110505287,7,0.06305607799266127,10,0.0013823210697390155
Mango (all varieties)-Mangifera indica,2022,Flowers_open,36,0.062425656097805246,33,0.0534995177871199,10,0.0653086124251583,11,0.0044482987661718
Mango (all varieties)-Mangifera indica,2023,Flowers_open,27,0.11744112835823181,20,0.052028982197764716,9,0.07536882275529773,10,0.0019516620061376638
Mango (all varieties)-Mangifera indica,2018,Fruits_unripe,47,0.05221901394662411,39,0.028194703262842236,17,0.0773462504152274,17,0.0012029958572396032
Mango (all varieties)-Mangifera indica,2019,Fruits_unripe,36,0.07600790482771122,37,0.047013082365926294,19,0.07162604671384254,20,0.002505672118939341
Mango (all varieties)-Mangifera indica,2020,Fruits_unripe,33,0.05726313004391452,37,0.053313999964292674,17,0.08213675524316402,15,0.0012868761902291124
Mango (all varieties)-Mangifera indica,2021,Fruits_unripe,46,0.0739783104694762,41,0.0552988856770169,15,0.07109440893081913,17,0.002096028954649008
Mango (all varieties)-Mangifera indica,2022,Fruits_unripe,37,0.058414820413826944,38,0.04479475802156803,18,0.08164912304323176,18,0.001720307002572356
